activity_id,cupo_maximo,current_inscriptions,historico_similar,habilidades_voluntarios
S001,20,5,0.2,2
S002,30,25,0.7,4
S003,15,10,0.6,3
S004,50,15,0.3,2
S005,25,20,0.8,5
S006,40,30,0.75,4
S007,10,3,0.1,1
S008,60,20,0.25,2
S009,20,18,0.9,5
S010,30,10,0.4,3
S011,100,50,0.5,3
S012,100,70,0.6,4
S013,100,30,0.2,2
S014,20,10,0.5,3
S015,20,15,0.7,4
S016,30,5,0.15,1
S017,30,18,0.6,3
S018,30,28,0.9,5
S019,50,20,0.4,2
S020,50,35,0.65,4
S021,50,45,0.85,5
S022,25,5,0.2,2
S023,25,12,0.5,3
S024,25,22,0.8,4
S025,10,8,0.7,3
S026,60,50,0.8,4
S027,60,25,0.4,2
S028,15,5,0.3,1
S029,15,12,0.75,4
S030,45,10,0.2,2
S031,45,20,0.4,3
S032,45,30,0.65,4
S033,45,40,0.8,5
S034,70,20,0.3,2
S035,70,40,0.55,3
S036,70,60,0.85,5
S037,35,10,0.25,2
S038,35,20,0.5,3
S039,35,30,0.8,4
S040,22,5,0.2,1
S041,22,10,0.45,3
S042,22,15,0.65,4
S043,22,20,0.9,5
S044,80,20,0.25,2
S045,80,40,0.5,3
S046,80,60,0.75,4
S047,80,75,0.9,5
S048,120,30,0.2,2
S049,120,60,0.5,3
S050,120,90,0.7,4
S051,18,5,0.3,2
S052,18,10,0.5,3
S053,18,15,0.8,5
S054,55,15,0.2,2
S055,55,30,0.5,3
S056,55,45,0.75,4
S057,28,8,0.3,2
S058,28,15,0.55,3
S059,28,22,0.7,4
S060,28,25,0.85,5
S061,90,20,0.2,1
S062,90,40,0.4,2
S063,90,60,0.6,3
S064,90,80,0.8,4
S065,10,2,0.1,1
S066,10,5,0.5,3
S067,10,9,0.9,5
S068,75,25,0.3,2
S069,75,40,0.5,3
S070,75,50,0.6,4
S071,75,65,0.8,5
S072,42,10,0.2,2
S073,42,20,0.45,3
S074,42,30,0.65,4
S075,42,38,0.9,5
S076,150,30,0.2,1
S077,150,70,0.45,3
S078,150,100,0.65,4
S079,150,130,0.85,5
S080,32,5,0.15,1
S081,32,15,0.45,3
S082,32,25,0.75,4
S083,32,30,0.9,5
S084,65,15,0.2,2
S085,65,30,0.4,3
S086,65,45,0.65,4
S087,65,60,0.85,5
S088,12,3,0.2,1
S089,12,6,0.5,3
S090,12,10,0.8,4
S091,110,25,0.2,2
S092,110,50,0.45,3
S093,110,75,0.65,4
S094,110,90,0.8,5
S095,48,10,0.2,2
S096,48,24,0.5,3
S097,48,36,0.7,4
S098,48,45,0.9,5
S099,5,2,0.3,2
S100,5,4,0.8,4
